1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
53.14;80.33;67.36;78.24;71.55;80.33;81.17;80.75;78.66;71.97;79.50;81.17;80.75;81.17;79.50;81.17
56.05;64.92;56.05;61.29;60.48;65.73;65.32;66.13;62.90;61.29;65.32;65.73;66.13;66.13;65.32;66.13
50.10;71.82;65.95;66.93;68.30;73.19;73.39;73.97;68.69;69.47;70.06;73.97;74.17;74.56;70.65;74.56
75.47;92.45;90.57;90.57;90.57;92.45;92.45;92.45;90.57;90.57;90.57;92.45;92.45;92.45;90.57;92.45
62.00;77.00;70.00;77.00;46.00;81.00;84.00;79.00;78.00;74.00;79.00;84.00;82.00;84.00;80.00;84.00
63.80;74.21;72.85;73.30;74.66;76.02;76.47;78.73;75.11;78.28;78.73;76.92;78.73;79.64;79.64;79.64
83.96;86.79;87.74;84.91;88.68;87.74;86.79;88.68;87.74;88.68;88.68;87.74;88.68;88.68;88.68;88.68
85.12;73.55;63.64;73.55;79.34;73.55;73.55;79.34;73.55;79.34;79.34;73.55;79.34;79.34;79.34;79.34
90.00;86.36;86.36;89.09;90.91;86.36;89.09;90.91;89.09;90.91;91.82;89.09;90.91;91.82;91.82;91.82
75.00;86.76;86.76;89.71;86.76;88.24;90.44;88.24;91.18;88.97;90.44;91.18;88.97;90.44;91.18;91.18
88.06;79.10;86.57;79.10;83.58;88.06;79.10;83.58;88.06;88.06;83.58;88.06;88.06;83.58;88.06;88.06
77.96;82.80;83.87;83.87;83.87;84.95;84.95;86.02;83.87;86.02;86.02;84.95;86.02;86.02;86.02;86.02
81.98;88.29;81.08;85.14;87.84;89.64;89.64;91.44;86.49;88.29;88.74;90.09;91.44;91.44;89.19;91.44
75.76;78.28;75.76;76.26;77.27;80.30;82.32;81.82;77.78;79.29;80.30;82.32;81.82;83.84;81.31;83.84
87.50;91.67;87.50;89.58;91.67;91.67;91.67;91.67;89.58;91.67;91.67;91.67;91.67;91.67;91.67;91.67
36.52;41.74;33.91;39.13;36.52;41.74;46.09;42.61;43.48;37.39;44.35;46.09;42.61;46.96;45.22;46.96
56.59;65.12;67.44;59.69;66.67;70.54;65.12;69.77;70.54;68.22;69.77;70.54;71.32;69.77;71.32;71.32
93.10;89.66;89.66;89.66;89.66;89.66;89.66;89.66;89.66;89.66;89.66;89.66;89.66;89.66;89.66;89.66
83.87;80.65;69.68;80.65;76.77;80.65;80.65;83.23;80.65;76.77;83.23;80.65;83.23;83.23;83.23;83.23
89.34;84.43;84.43;81.15;76.23;87.70;84.43;86.89;85.25;84.43;83.61;87.70;87.70;86.89;85.25;87.70
88.57;85.71;62.86;85.71;91.43;85.71;85.71;91.43;85.71;91.43;91.43;85.71;91.43;91.43;91.43;91.43
