RA;DY;MI;MO;WS
53.14;80.33;67.36;78.24;71.55
56.05;64.92;56.05;61.29;60.48
50.10;71.82;65.95;66.93;68.30
75.47;92.45;90.57;90.57;90.57
62.00;77.00;70.00;77.00;46.00
63.80;74.21;72.85;73.30;74.66
83.96;86.79;87.74;84.91;88.68
85.12;73.55;63.64;73.55;79.34
90.00;86.36;86.36;89.09;90.91
75.00;86.76;86.76;89.71;86.76
88.06;79.10;86.57;79.10;83.58
77.96;82.80;83.87;83.87;83.87
81.98;88.29;81.08;85.14;87.84
75.76;78.28;75.76;76.26;77.27
87.50;91.67;87.50;89.58;91.67
36.52;41.74;33.91;39.13;36.52
56.59;65.12;67.44;59.69;66.67
93.10;89.66;89.66;89.66;89.66
83.87;80.65;69.68;80.65;76.77
89.34;84.43;84.43;81.15;76.23
88.57;85.71;62.86;85.71;91.43
