1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
272.66;56.53;60.45;52.76;33.09;57.33;101.54;12.12;9.65;10.12;10.63;13.40;17.22;14.97;16.12;14.20
894.44;36.62;50.55;33.95;28.23;48.59;62.63;6.89;8.86;8.16;7.58;9.49;9.75;12.07;10.67;10.48
495.70;51.64;47.30;51.86;61.65;68.50;82.62;10.59;9.13;10.17;8.99;14.52;13.72;12.69;8.07;15.63
588.65;28.82;29.86;30.26;24.62;30.71;36.20;6.49;5.71;5.55;4.62;5.94;7.08;5.54;5.53;7.63
247.82;43.81;41.36;39.38;32.49;36.01;63.15;9.05;7.47;7.74;8.75;10.53;8.11;6.94;9.80;8.05
1106.71;43.91;53.05;37.21;30.61;55.30;60.03;10.97;10.19;8.63;7.98;11.26;12.07;10.88;11.19;10.94
863.63;37.17;37.08;47.15;30.38;48.45;58.14;7.73;9.10;8.19;6.04;9.63;8.05;10.85;9.84;8.65
431.75;46.65;35.66;38.37;32.98;42.21;56.64;8.62;8.63;7.93;7.40;9.62;11.46;7.55;9.47;8.27
971.04;41.40;37.82;40.08;43.50;36.41;48.99;8.40;7.81;7.67;6.67;10.24;9.55;9.15;9.15;7.99
1124.92;40.97;35.38;41.59;27.82;55.27;118.35;11.96;14.28;10.76;10.93;18.67;11.43;10.66;11.42;11.43
85.40;26.81;25.02;24.67;24.29;24.44;40.39;5.24;4.52;5.29;4.91;5.33;5.17;5.65;5.46;6.79
917.78;38.37;36.27;49.05;34.59;40.11;90.96;14.95;13.38;6.86;7.62;10.48;8.07;12.19;9.66;11.06
417.80;44.52;33.37;38.07;42.77;36.26;85.64;9.49;8.63;8.56;6.97;10.96;11.14;12.44;8.97;8.27
913.64;32.50;31.79;36.56;27.28;38.95;42.48;9.04;8.26;7.45;7.83;8.88;9.11;8.39;8.16;11.30
231.31;28.54;27.38;24.99;25.66;25.04;41.01;6.06;4.21;5.50;3.89;4.63;4.07;4.52;5.32;6.88
104.92;46.65;40.92;44.58;53.08;43.33;88.75;11.11;7.94;10.20;10.49;9.71;7.83;10.97;9.02;8.73
1122.27;36.55;32.44;48.38;36.79;33.87;65.81;6.63;6.36;8.19;6.18;7.00;7.44;8.78;8.77;6.95
24.77;17.41;17.50;17.58;17.96;17.93;26.90;3.79;3.32;3.38;3.42;3.45;3.48;3.70;3.54;4.17
240.87;45.54;44.90;45.90;45.52;44.83;59.49;8.63;7.86;9.28;9.12;7.87;11.13;9.80;8.78;8.54
528.89;34.80;36.43;33.93;23.70;44.05;52.84;9.47;9.10;8.10;7.86;6.86;7.01;6.66;7.54;11.78
12.70;22.16;22.06;21.97;22.36;21.81;31.30;4.50;4.17;4.11;4.34;4.51;4.41;4.75;4.38;4.89
