RA;DY;MI;MO;WS
912.15;122.12;92.98;122.58;103.05
937.18;85.53;88.46;85.35;84.46
2192.87;336.26;336.92;333.01;318.14
223.03;11.70;11.14;11.07;11.31
591.01;23.14;23.58;23.22;21.54
1083.16;84.13;83.08;83.66;80.98
517.52;44.10;39.74;44.26;43.87
411.51;35.67;36.54;36.46;36.01
536.93;44.00;44.95;44.49;43.65
848.36;82.00;76.14;77.52;78.86
38.16;12.58;12.68;12.14;12.50
970.27;81.58;78.11;80.82;78.28
824.36;71.34;71.35;74.72;70.33
905.74;65.22;61.26;64.96;59.28
127.97;8.40;8.59;8.57;8.84
310.14;34.10;34.65;28.53;33.56
548.93;30.71;30.54;30.87;31.88
9.10;6.04;5.92;5.95;5.98
500.13;48.27;49.04;48.85;71.09
556.12;48.36;48.83;47.96;46.91
7.66;6.52;6.33;6.50;6.60
