RA;DY;MI;MO;WS
239;239;239;239;239
248;248;248;248;248
511;511;511;511;511
53;53;53;53;53
100;100;100;100;100
221;221;221;221;221
106;106;106;106;106
121;121;121;121;121
110;110;110;110;110
136;136;136;136;136
67;67;67;67;67
186;186;186;186;186
222;222;222;222;222
198;198;198;198;198
48;48;48;48;48
115;115;115;115;115
129;129;129;129;129
29;29;29;29;29
155;155;155;155;155
122;122;122;122;122
35;35;35;35;35
