RA;DY;MI;MO;WS
4328.82;80.44;115.80;345.89;244.11
12884.23;71.63;125.14;274.83;246.09
13799.70;134.21;247.84;460.25;408.38
357.69;5.84;10.34;18.44;18.51
2249.50;96.56;132.23;184.29;173.45
7890.97;66.79;106.04;267.26;179.59
2486.61;14.27;19.46;51.84;45.53
1056.30;135.68;209.17;172.41;423.42
4331.65;29.45;63.20;85.07;106.00
4354.02;47.89;97.65;238.28;144.54
192.34;4.67;11.33;15.36;16.67
3354.75;28.78;47.04;94.87;72.70
1833.86;33.14;57.26;122.12;123.03
5934.35;41.79;77.59;156.76;121.64
307.99;5.03;9.34;23.07;18.13
1372.89;615.37;664.27;301.61;725.31
5222.77;62.89;97.66;105.36;149.86
85.02;10.58;17.74;17.99;27.90
1405.92;536.56;246.18;594.38;594.28
4328.64;55.24;81.44;238.30;129.49
6.59;6.78;7.40;6.47;9.74
