R;E;P;J;AS
100,0;100,0;75,0;100,0;100,0
100,0;100,0;98,8;100,0;100,0
100,0;100,0;96,3;100,0;100,0
93,8;100,0;68,8;100,0;100,0
70,0;100,0;61,0;100,0;100,0
100,0;100,0;100,0;100,0;100,0
100,0;100,0;100,0;100,0;100,0
100,0;100,0;96,2;100,0;100,0
100,0;91,9;95,0;100,0;100,0
92,9;0,0;92,9;100,0;100,0
98,3;100,0;91,7;91,7;100,0
100,0;100,0;100,0;92,5;100,0
96,7;100,0;91,7;91,7;100,0
100,0;100,0;100,0;100,0;100,0
99,5;100,0;94,7;93,2;100,0
100,0;100,0;100,0;83,5;100,0
66,7;100,0;59,8;100,0;100,0
73,8;100,0;57,5;81,0;100,0
73,3;100,0;57,6;100,0;100,0
76,2;100,0;23,8;60,5;100,0
54,2;88,8;12,5;81,3;88,8
100,0;100,0;99,1;96,9;100,0
98,1;100,0;96,0;94,6;100,0
96,2;19,0;86,0;89,5;89,5
100,0;100,0;95,9;98,8;100,0
95,3;98,4;90,2;93,3;99,0
100,0;100,0;96,4;100,0;100,0
100,0;100,0;93,3;100,0;100,0
100,0;100,0;93,9;100,0;100,0
28,1;100,0;0,0;71,9;100,0
100,0;90,0;100,0;100,0;100,0
100,0;100,0;100,0;100,0;100,0
90,9;100,0;95,9;100,0;100,0
