RA;DY;MI;MO;WS
22;28;39;26;22
12;23;31;22;19
27;25;25;28;36
13;21;21;22;17
18;34;30;31;23
15;22;33;22;19
15;26;26;33;22
15;32;28;26;25
14;32;27;30;34
17;18;17;20;18
15;20;20;19;18
17;23;22;28;25
21;31;23;26;30
13;21;21;24;19
11;21;21;19;18
30;37;29;34;40
25;28;25;39;28
10;13;13;13;13
17;30;31;26;27
23;25;26;25;18
17;17;17;18;17
