RA;DY;MI;MO;WS
72;72;72;72;72
99;99;99;99;99
179;179;179;179;179
17;17;17;17;17
61;61;61;61;61
95;95;95;95;95
44;44;44;44;44
50;50;50;50;50
46;46;46;46;46
54;54;54;54;54
27;27;27;27;27
73;73;73;73;73
95;95;95;95;95
74;74;74;74;74
20;20;20;20;20
61;61;61;61;61
68;68;68;68;68
6;6;6;6;6
57;57;57;57;57
47;47;47;47;47
9;9;9;9;9
