1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
5613.81;68.18;58.98;76.04;56.84;212.64;355.27;40.15;40.63;28.65;39.89;52.19;69.87;51.01;44.34;75.75
15585.14;78.01;75.82;79.27;77.82;217.14;303.05;43.68;39.01;38.61;40.62;46.23;66.61;46.69;45.65;85.80
24198.24;194.20;179.12;189.42;170.84;655.54;899.18;120.32;110.64;100.03;108.08;146.74;180.99;137.23;129.29;215.44
2148.48;13.72;13.47;13.90;12.61;39.68;49.30;7.09;6.37;6.27;6.09;7.63;8.29;7.15;7.05;9.17
2571.29;45.46;44.19;41.01;43.55;108.02;140.13;21.46;19.92;18.79;19.32;21.40;23.44;21.53;21.05;25.82
18467.17;95.48;86.23;93.97;81.19;327.59;471.59;59.00;53.51;47.55;52.44;73.10;70.73;69.50;63.50;99.87
12775.41;29.30;33.01;34.47;32.45;89.91;127.17;17.73;17.09;15.69;16.95;19.46;19.92;19.43;19.14;25.32
4738.27;33.85;37.17;33.81;44.57;91.78;108.76;21.65;16.46;21.03;19.82;18.10;25.70;21.82;24.34;35.87
9786.79;32.36;32.86;33.94;33.00;85.19;115.43;16.03;16.16;14.92;15.43;18.04;18.37;17.35;17.45;22.47
19312.80;65.69;60.52;72.39;51.49;267.87;415.58;45.40;49.86;36.65;47.23;68.55;59.70;62.93;59.61;93.48
444.39;18.25;18.31;17.38;20.04;46.27;55.43;9.62;8.14;8.82;8.80;9.03;10.06;9.04;9.33;12.12
19455.72;69.10;61.10;67.78;56.42;212.60;305.54;39.09;36.63;30.11;34.99;48.27;45.35;45.63;40.99;59.67
11246.79;76.67;70.98;81.99;76.55;210.07;313.37;44.41;40.98;38.04;43.05;46.47;49.32;49.17;47.27;62.53
11594.38;59.16;59.02;60.86;54.61;173.83;232.41;32.28;31.11;28.34;29.40;37.34;38.12;35.44;34.99;44.85
1327.77;14.31;14.02;13.96;15.13;35.73;46.38;7.33;6.34;6.26;6.54;6.88;7.67;7.00;6.88;8.30
939.24;50.83;50.07;49.35;46.04;119.80;150.11;24.96;20.79;20.96;22.18;22.67;24.91;22.31;22.01;26.53
15338.63;46.05;46.03;44.67;46.84;114.15;148.89;24.47;21.01;21.15;21.81;22.75;25.26;23.46;23.36;28.72
45.96;4.97;4.96;4.99;5.01;12.54;15.12;2.49;2.13;2.20;2.29;2.17;2.54;2.30;2.31;2.60
4191.71;57.87;44.07;53.47;54.29;143.78;202.47;27.55;25.43;23.32;25.21;28.62;29.97;29.34;27.53;34.93
7922.63;34.11;33.68;34.39;30.98;89.07;120.25;16.76;16.34;15.26;15.58;18.22;18.75;18.28;17.33;21.89
9.45;6.55;6.25;6.56;6.57;14.93;19.37;3.10;2.73;2.76;2.78;2.86;3.10;2.96;2.83;3.14
