RA;DY;MI;MO;WS
211;211;211;211;211
214;214;214;214;214
291;291;291;291;291
18;18;18;18;18
140;140;140;140;140
146;146;146;146;146
44;44;44;44;44
54;54;54;54;54
72;72;72;72;72
74;74;74;74;74
14;14;14;14;14
62;62;62;62;62
91;91;91;91;91
112;112;112;112;112
16;16;16;16;16
185;185;185;185;185
114;114;114;114;114
19;19;19;19;19
70;70;70;70;70
72;72;72;72;72
5;5;5;5;5
