RA;DY;MI;MO;WS
5613.81;68.18;58.98;76.04;56.84
15585.14;78.01;75.82;79.27;77.82
24198.24;194.20;179.12;189.42;170.84
2148.48;13.72;13.47;13.90;12.61
2571.29;45.46;44.19;41.01;43.55
18467.17;95.48;86.23;93.97;81.19
12775.41;29.30;33.01;34.47;32.45
4738.27;33.85;37.17;33.81;44.57
9786.79;32.36;32.86;33.94;33.00
19312.80;65.69;60.52;72.39;51.49
444.39;18.25;18.31;17.38;20.04
19455.72;69.10;61.10;67.78;56.42
11246.79;76.67;70.98;81.99;76.55
11594.38;59.16;59.02;60.86;54.61
1327.77;14.31;14.02;13.96;15.13
939.24;50.83;50.07;49.35;46.04
15338.63;46.05;46.03;44.67;46.84
45.96;4.97;4.96;4.99;5.01
4191.71;57.87;44.07;53.47;54.29
7922.63;34.11;33.68;34.39;30.98
9.45;6.55;6.25;6.56;6.57
