1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
73.17;92.68;80.49;87.80;87.80;91.67;79.41;92.86;95.45;83.33;92.31;100.00;94.29;90.32;81.58;92.68
48.15;48.15;48.15;48.15;48.15;71.43;73.33;50.00;81.48;68.00;75.00;80.00;59.26;54.55;75.86;48.15
25.00;55.00;40.00;45.00;50.00;65.52;70.37;58.33;66.67;76.00;76.19;73.33;74.07;79.17;61.11;60.00
77.27;95.45;95.45;95.45;95.45;90.00;100.00;100.00;100.00;95.00;93.75;94.44;100.00;94.12;88.89;95.45
74.29;82.86;71.43;85.71;42.86;84.62;93.55;83.87;89.66;80.00;85.29;86.11;85.19;83.33;90.91;85.71
91.30;91.30;91.30;91.30;87.50;95.83;85.00;76.92;88.00;95.65;90.48;95.24;80.00;86.96;74.07;91.67
81.48;81.48;81.48;81.48;81.48;93.33;92.86;87.50;82.76;79.31;75.00;79.31;75.00;100.00;86.21;81.48
70.00;43.33;33.33;43.33;70.00;53.57;57.58;66.67;70.00;66.67;75.00;39.39;76.67;84.00;62.96;70.00
76.67;66.67;66.67;76.67;76.67;42.31;78.95;73.33;85.19;78.57;83.33;84.85;73.33;72.41;90.00;76.67
64.71;70.59;70.59;64.71;64.71;88.24;100.00;95.65;93.55;83.33;70.00;96.00;91.67;77.27;89.47;70.59
71.43;61.90;71.43;61.90;71.43;72.22;65.00;61.11;50.00;70.00;72.22;65.00;89.47;63.16;90.00;80.95
72.00;92.00;96.00;96.00;96.00;63.64;82.76;88.89;96.67;81.82;72.73;90.48;59.09;83.33;73.91;96.00
65.71;74.29;57.14;74.29;74.29;50.00;80.00;78.57;37.93;79.31;77.27;58.82;65.71;72.97;64.29;74.29
48.00;68.00;52.00;64.00;48.00;73.91;61.11;77.78;84.00;75.00;80.00;95.65;88.89;90.91;77.27;80.00
85.71;90.48;90.48;90.48;90.48;72.22;85.71;95.24;100.00;90.48;85.71;93.75;60.00;62.50;70.00;90.48
57.69;45.83;48.15;42.31;45.83;24.00;50.00;41.03;34.48;44.12;56.41;32.43;40.00;45.95;33.33;57.69
15.15;42.42;42.42;33.33;45.45;52.00;51.52;59.09;65.22;34.38;81.82;58.33;53.85;50.00;34.38;45.45
84.62;84.62;84.62;84.62;84.62;84.62;84.62;84.62;84.62;84.62;84.62;84.62;84.62;84.62;84.62;84.62
60.00;60.00;50.00;62.50;50.00;53.12;52.00;75.86;64.29;66.67;66.67;68.18;80.65;88.89;70.97;62.50
68.00;68.00;56.00;56.00;52.00;68.97;44.00;75.00;75.00;83.33;64.29;63.64;60.87;57.14;76.00;68.00
52.94;58.82;52.94;58.82;58.82;47.06;47.06;47.06;58.82;47.06;58.82;50.00;58.82;50.00;47.06;58.82
