1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
4328.82;80.44;115.80;345.89;244.11;507.27;907.84;101.52;100.74;78.04;99.09;132.01;105.88;129.53;113.33;158.05
12884.23;71.63;125.14;274.83;246.09;466.61;731.31;93.25;90.00;82.99;92.11;106.91;99.11;111.20;104.03;138.35
13799.70;134.21;247.84;460.25;408.38;967.34;1466.13;183.70;170.29;153.89;162.82;217.98;200.73;217.02;197.19;280.89
357.69;5.84;10.34;18.44;18.51;32.79;46.23;6.51;5.92;5.82;5.69;6.96;6.65;6.91;6.46;8.45
2249.50;96.56;132.23;184.29;173.45;246.98;326.41;100.03;96.29;95.59;96.56;99.24;98.91;99.88;98.34;106.25
7890.97;66.79;106.04;267.26;179.59;448.45;710.73;85.68;81.08;65.99;74.86;110.03;95.86;104.49;89.20;134.72
2486.61;14.27;19.46;51.84;45.53;81.67;130.78;16.44;16.83;14.52;15.93;19.54;17.65;19.07;17.99;22.17
1056.30;135.68;209.17;172.41;423.42;261.49;241.40;530.37;196.33;440.56;386.33;198.36;448.22;381.60;438.97;458.84
4331.65;29.45;63.20;85.07;106.00;143.68;192.90;26.30;29.63;26.58;27.12;34.37;31.58;38.58;34.15;37.50
4354.02;47.89;97.65;238.28;144.54;367.43;588.33;62.98;71.26;54.72;70.29;96.41;78.18;95.12;87.36;197.29
192.34;4.67;11.33;15.36;16.67;24.39;30.78;5.06;4.79;5.24;5.18;5.18;5.32;5.95;5.63;5.33
3354.75;28.78;47.04;94.87;72.70;174.40;253.91;31.48;37.49;28.25;31.69;45.76;42.37;45.84;39.93;43.51
1833.86;33.14;57.26;122.12;123.03;190.06;373.16;41.46;40.51;45.45;43.17;45.84;41.32;50.53;46.34;49.71
5934.35;41.79;77.59;156.76;121.64;264.38;326.34;42.78;49.76;45.76;47.27;57.56;50.52;56.85;53.10;59.83
307.99;5.03;9.34;23.07;18.13;24.08;32.79;4.98;4.94;5.13;5.17;5.35;5.24;5.84;5.08;5.49
1372.89;615.37;664.27;301.61;725.31;823.74;883.98;623.58;622.66;623.13;621.86;628.07;629.15;631.81;626.35;634.15
5222.77;62.89;97.66;105.36;149.86;217.99;271.00;73.47;66.60;70.90;73.73;65.38;70.50;92.22;72.37;81.02
85.02;10.58;17.74;17.99;27.90;34.02;42.63;11.19;10.75;11.04;10.26;11.31;9.68;14.88;11.53;12.15
1405.92;536.56;246.18;594.38;594.28;630.63;690.39;529.17;526.13;526.30;539.28;535.67;535.36;641.37;528.82;561.19
4328.64;55.24;81.44;238.30;129.49;202.46;245.45;58.70;65.35;55.38;57.04;73.18;63.98;83.64;66.70;67.20
6.59;6.78;7.40;6.47;9.74;11.95;16.03;2.93;3.67;3.72;3.25;3.57;3.92;5.12;3.83;4.09
