RA;DY;MI;MO;WS
272.66;56.53;60.45;52.76;33.09
894.44;36.62;50.55;33.95;28.23
495.70;51.64;47.30;51.86;61.65
588.65;28.82;29.86;30.26;24.62
247.82;43.81;41.36;39.38;32.49
1106.71;43.91;53.05;37.21;30.61
863.63;37.17;37.08;47.15;30.38
431.75;46.65;35.66;38.37;32.98
971.04;41.40;37.82;40.08;43.50
1124.92;40.97;35.38;41.59;27.82
85.40;26.81;25.02;24.67;24.29
917.78;38.37;36.27;49.05;34.59
417.80;44.52;33.37;38.07;42.77
913.64;32.50;31.79;36.56;27.28
231.31;28.54;27.38;24.99;25.66
104.92;46.65;40.92;44.58;53.08
1122.27;36.55;32.44;48.38;36.79
24.77;17.41;17.50;17.58;17.96
240.87;45.54;44.90;45.90;45.52
528.89;34.80;36.43;33.93;23.70
12.70;22.16;22.06;21.97;22.36
